Sequence_Name,Country,Sequence_Length,Execution_Time (sec),Correctness (%)
kenya-4,Kenya,1000,0.088,100.0
kenya-2,Kenya,1000,0.078,100.0
kenya-5,Kenya,1000,0.077,100.0
kenya-1,Kenya,1000,0.07,100.0
kenya-3,Kenya,1000,0.145,100.0
brazil-4,Brazil,1000,0.06,99.6
brazil-2,Brazil,1000,0.057,99.5
brazil-5,Brazil,1000,0.059,99.0
brazil-1,Brazil,1000,0.06,100.0
brazil-3,Brazil,1000,0.059,99.7
germany-1,Germany,1000,0.064,100.0
germany-3,Germany,1000,0.059,100.0
germany-5,Germany,1000,0.058,100.0
germany-2,Germany,1000,0.065,100.0
germany-4,Germany,1000,0.067,100.0
india-4,India,1000,0.076,99.8
india-2,India,1000,0.061,99.9
india-5,India,1000,0.059,99.9
india-1,India,1000,0.065,99.6
india-3,India,1000,0.065,99.9
vietnam-4,Vietnam,1000,0.063,99.7
vietnam-2,Vietnam,1000,0.062,99.7
vietnam-5,Vietnam,1000,0.062,100.0
vietnam-3,Vietnam,1000,0.057,98.9
vietnam-1,Vietnam,1000,0.058,99.3
